X,CH1,CH2,
Second,Volt,Volt,
-2.4000001e+00,-8.80000e-01,0.00000e+00,
-2.3900001e+00,-8.80000e-01,8.00000e-03,
-2.3800001e+00,-8.00000e-01,0.00000e+00,
-2.3700001e+00,-9.60000e-01,8.00000e-03,
-2.3600001e+00,-8.80000e-01,0.00000e+00,
-2.3500001e+00,-8.00000e-01,1.60000e-02,
-2.3399999e+00,-8.00000e-01,8.00000e-03,
-2.3299999e+00,-9.60000e-01,4.80000e-02,
-2.3199999e+00,-9.60000e-01,8.00000e-03,
-2.3099999e+00,-8.00000e-01,8.00000e-03,
-2.3000000e+00,-8.80000e-01,1.60000e-02,
-2.2900000e+00,-8.80000e-01,0.00000e+00,
-2.2800000e+00,-8.00000e-01,8.00000e-03,
-2.2700000e+00,-9.60000e-01,1.60000e-02,
-2.2600000e+00,-8.00000e-01,2.40000e-02,
-2.2500000e+00,-9.60000e-01,0.00000e+00,
-2.2400000e+00,-9.60000e-01,8.00000e-03,
-2.2300000e+00,-8.00000e-01,0.00000e+00,
-2.2200000e+00,-9.60000e-01,0.00000e+00,
-2.2100000e+00,-7.20000e-01,2.40000e-02,
-2.2000000e+00,-8.80000e-01,2.40000e-02,
-2.1900001e+00,-8.00000e-01,0.00000e+00,
-2.1800001e+00,-9.60000e-01,0.00000e+00,
-2.1700001e+00,-8.00000e-01,2.40000e-02,
-2.1600001e+00,-8.00000e-01,8.00000e-03,
-2.1500001e+00,-9.60000e-01,8.00000e-03,
-2.1400001e+00,-8.00000e-01,0.00000e+00,
-2.1300001e+00,-9.60000e-01,2.40000e-02,
-2.1200001e+00,-8.80000e-01,8.00000e-03,
-2.1100001e+00,-8.00000e-01,2.40000e-02,
-2.1000001e+00,-9.60000e-01,1.60000e-02,
-2.0900002e+00,-8.00000e-01,0.00000e+00,
-2.0799999e+00,-8.80000e-01,8.00000e-03,
-2.0699999e+00,-9.60000e-01,1.60000e-02,
-2.0599999e+00,-8.00000e-01,8.00000e-03,
-2.0500000e+00,-9.60000e-01,0.00000e+00,
-2.0400000e+00,-9.60000e-01,8.00000e-03,
-2.0300000e+00,-8.00000e-01,2.40000e-02,
-2.0200000e+00,-9.60000e-01,2.40000e-02,
-2.0100000e+00,-8.80000e-01,0.00000e+00,
-1.9999999e+00,-8.80000e-01,8.00000e-03,
-1.9899999e+00,2.56000e+00,9.36000e-01,
-1.9799999e+00,2.48000e+00,9.44000e-01,
-1.9699999e+00,2.56000e+00,6.80000e-01,
-1.9599999e+00,2.48000e+00,6.08000e-01,
-1.9499999e+00,2.56000e+00,7.84000e-01,
-1.9399999e+00,2.48000e+00,7.76000e-01,
-1.9299999e+00,2.56000e+00,8.40000e-01,
-1.9200000e+00,2.48000e+00,8.32000e-01,
-1.9100000e+00,2.48000e+00,9.12000e-01,
-1.9000000e+00,2.48000e+00,8.96000e-01,
-1.8900000e+00,2.56000e+00,9.92000e-01,
-1.8800000e+00,2.48000e+00,9.84000e-01,
-1.8700000e+00,2.56000e+00,1.05600e+00,
-1.8600000e+00,2.48000e+00,1.04800e+00,
-1.8500000e+00,2.48000e+00,1.08000e+00,
-1.8400000e+00,2.48000e+00,1.06400e+00,
-1.8299998e+00,2.56000e+00,1.09600e+00,
-1.8199998e+00,2.48000e+00,1.08000e+00,
-1.8099998e+00,2.56000e+00,1.12000e+00,
-1.7999998e+00,2.48000e+00,1.09600e+00,
-1.7899998e+00,2.48000e+00,1.08800e+00,
-1.7799999e+00,2.48000e+00,1.08000e+00,
-1.7699999e+00,2.56000e+00,1.10400e+00,
-1.7599999e+00,2.48000e+00,1.08800e+00,
-1.7499999e+00,2.56000e+00,1.11200e+00,
-1.7399999e+00,2.48000e+00,1.09600e+00,
-1.7299999e+00,2.56000e+00,1.11200e+00,
-1.7199999e+00,2.48000e+00,1.09600e+00,
-1.7099999e+00,2.56000e+00,1.11200e+00,
-1.6999999e+00,2.48000e+00,1.12000e+00,
-1.6899999e+00,2.56000e+00,1.08800e+00,
-1.6799999e+00,2.48000e+00,1.11200e+00,
-1.6700000e+00,2.56000e+00,1.08000e+00,
-1.6600000e+00,2.56000e+00,1.11200e+00,
-1.6500000e+00,2.48000e+00,1.09600e+00,
-1.6400000e+00,2.48000e+00,1.11200e+00,
-1.6300000e+00,2.48000e+00,1.09600e+00,
-1.6200000e+00,2.48000e+00,1.09600e+00,
-1.6100000e+00,2.48000e+00,1.12000e+00,
-1.6000000e+00,2.48000e+00,1.11200e+00,
-1.5900000e+00,2.56000e+00,1.09600e+00,
-1.5800000e+00,2.48000e+00,1.11200e+00,
-1.5699998e+00,2.56000e+00,1.10400e+00,
-1.5599998e+00,2.48000e+00,1.10400e+00,
-1.5499998e+00,2.56000e+00,1.12800e+00,
-1.5399998e+00,2.48000e+00,1.11200e+00,
-1.5299999e+00,2.48000e+00,1.09600e+00,
-1.5199999e+00,2.48000e+00,1.11200e+00,
-1.5099999e+00,2.56000e+00,1.08000e+00,
-1.4999999e+00,2.48000e+00,1.11200e+00,
