X,CH1,CH2,
Second,Volt,Volt,
-2.1760001e+00,-8.00000e-02,-1.60000e-02,
-2.1720002e+00,0.00000e+00,2.40000e-02,
-2.1680000e+00,0.00000e+00,3.20000e-02,
-2.1640000e+00,-8.00000e-02,-2.40000e-02,
-2.1600001e+00,-8.00000e-02,-2.40000e-02,
-2.1560001e+00,0.00000e+00,1.60000e-02,
-2.1520000e+00,-8.00000e-02,3.20000e-02,
-2.1480000e+00,0.00000e+00,-2.40000e-02,
-2.1440001e+00,0.00000e+00,-3.20000e-02,
-2.1400001e+00,-1.60000e-01,1.60000e-02,
-2.1360002e+00,-8.00000e-02,3.20000e-02,
-2.1320000e+00,0.00000e+00,-1.60000e-02,
-2.1280000e+00,-8.00000e-02,-3.20000e-02,
-2.1240001e+00,0.00000e+00,8.00000e-03,
-2.1200001e+00,-8.00000e-02,3.20000e-02,
-2.1160002e+00,0.00000e+00,-8.00000e-03,
-2.1120000e+00,-8.00000e-02,-4.00000e-02,
-2.1080000e+00,8.00000e-02,0.00000e+00,
-2.1040001e+00,-8.00000e-02,7.20000e-02,
-2.1000001e+00,8.00000e-02,0.00000e+00,
-2.0960000e+00,-8.00000e-02,0.00000e+00,
-2.0920000e+00,0.00000e+00,-4.80000e-02,
-2.0880001e+00,0.00000e+00,0.00000e+00,
-2.0840001e+00,-8.00000e-02,3.20000e-02,
-2.0800002e+00,-8.00000e-02,8.00000e-03,
-2.0760000e+00,0.00000e+00,-2.40000e-02,
-2.0720000e+00,-8.00000e-02,-8.00000e-03,
-2.0680001e+00,0.00000e+00,3.20000e-02,
-2.0640001e+00,0.00000e+00,1.60000e-02,
-2.0600002e+00,-8.00000e-02,-2.40000e-02,
-2.0560000e+00,0.00000e+00,-1.60000e-02,
-2.0520000e+00,-8.00000e-02,3.20000e-02,
-2.0480001e+00,-8.00000e-02,1.60000e-02,
-2.0440001e+00,0.00000e+00,-2.40000e-02,
-2.0400000e+00,-8.00000e-02,-1.60000e-02,
-2.0360000e+00,0.00000e+00,4.00000e-02,
-2.0320001e+00,-8.00000e-02,2.40000e-02,
-2.0280001e+00,0.00000e+00,-3.20000e-02,
-2.0240002e+00,-8.00000e-02,-1.60000e-02,
-2.0200000e+00,0.00000e+00,3.20000e-02,
-2.0160000e+00,-8.00000e-02,2.40000e-02,
-2.0120001e+00,0.00000e+00,-2.40000e-02,
