X,CH1,CH2,
Second,Volt,Volt,
-1.2000000e+00,-8.40000e-01,0.00000e+00,
-1.1960001e+00,-7.60000e-01,0.00000e+00,
-1.1920000e+00,-7.80000e-01,0.00000e+00,
-1.1880001e+00,-9.40000e-01,-4.00000e-02,
-1.1840000e+00,-9.20000e-01,0.00000e+00,
-1.1800001e+00,-8.40000e-01,-4.00000e-02,
-1.1760000e+00,-7.80000e-01,0.00000e+00,
-1.1720001e+00,-9.00000e-01,0.00000e+00,
-1.1680001e+00,-9.00000e-01,0.00000e+00,
-1.1640000e+00,-9.60000e-01,4.00000e-02,
-1.1600001e+00,-9.20000e-01,0.00000e+00,
-1.1560000e+00,-7.80000e-01,0.00000e+00,
-1.1520001e+00,-8.60000e-01,0.00000e+00,
-1.1480000e+00,-9.40000e-01,0.00000e+00,
-1.1440001e+00,-9.20000e-01,0.00000e+00,
-1.1400001e+00,-7.80000e-01,0.00000e+00,
-1.1360000e+00,-8.60000e-01,0.00000e+00,
-1.1320001e+00,-9.60000e-01,0.00000e+00,
-1.1280000e+00,-9.80000e-01,0.00000e+00,
-1.1240001e+00,-7.60000e-01,0.00000e+00,
-1.1200000e+00,-7.80000e-01,0.00000e+00,
-1.1160001e+00,-9.80000e-01,0.00000e+00,
-1.1120001e+00,-9.40000e-01,0.00000e+00,
-1.1080000e+00,-8.20000e-01,0.00000e+00,
-1.1040001e+00,-8.00000e-01,0.00000e+00,
-1.1000000e+00,-9.20000e-01,0.00000e+00,
-1.0960001e+00,-9.40000e-01,0.00000e+00,
-1.0920000e+00,-9.00000e-01,0.00000e+00,
-1.0880001e+00,-7.80000e-01,0.00000e+00,
-1.0840001e+00,-9.20000e-01,0.00000e+00,
-1.0800000e+00,-9.20000e-01,0.00000e+00,
-1.0760001e+00,-8.60000e-01,0.00000e+00,
-1.0720000e+00,-7.80000e-01,0.00000e+00,
-1.0680001e+00,-9.00000e-01,0.00000e+00,
-1.0640000e+00,-8.40000e-01,0.00000e+00,
-1.0600001e+00,-9.60000e-01,4.00000e-02,
-1.0560000e+00,-9.40000e-01,0.00000e+00,
-1.0520000e+00,-7.80000e-01,0.00000e+00,
-1.0480001e+00,-8.40000e-01,0.00000e+00,
-1.0440000e+00,-9.40000e-01,0.00000e+00,
-1.0400001e+00,-9.40000e-01,0.00000e+00,
-1.0360000e+00,-7.60000e-01,4.00000e-02,
-1.0320001e+00,-8.00000e-01,0.00000e+00,
-1.0280000e+00,-9.40000e-01,0.00000e+00,
-1.0240000e+00,-1.00000e+00,0.00000e+00,
-1.0200001e+00,-8.60000e-01,0.00000e+00,
-1.0160000e+00,-8.80000e-01,0.00000e+00,
-1.0120001e+00,-7.60000e-01,0.00000e+00,
-1.0080000e+00,-8.60000e-01,0.00000e+00,
-1.0040001e+00,-9.40000e-01,0.00000e+00,
-1.0000000e+00,-7.80000e-01,0.00000e+00,
-9.9600005e-01,-9.20000e-01,-4.00000e-02,
-9.9200004e-01,-8.60000e-01,0.00000e+00,
-9.8800004e-01,-9.40000e-01,0.00000e+00,
-9.8400003e-01,-9.40000e-01,0.00000e+00,
-9.8000002e-01,-7.60000e-01,0.00000e+00,
-9.7600007e-01,-8.20000e-01,0.00000e+00,
-9.7200006e-01,-9.40000e-01,-4.00000e-02,
-9.6800005e-01,-9.00000e-01,0.00000e+00,
-9.6400005e-01,-7.60000e-01,-4.00000e-02,
-9.6000004e-01,-7.80000e-01,0.00000e+00,
-9.5600003e-01,-9.60000e-01,0.00000e+00,
-9.5200002e-01,-9.80000e-01,0.00000e+00,
-9.4800007e-01,-8.20000e-01,-4.00000e-02,
-9.4400007e-01,-7.80000e-01,0.00000e+00,
-9.4000006e-01,-9.00000e-01,-4.00000e-02,
-9.3600005e-01,-8.60000e-01,0.00000e+00,
-9.3200004e-01,-9.40000e-01,0.00000e+00,
-9.2800003e-01,-9.20000e-01,0.00000e+00,
-9.2400002e-01,-7.60000e-01,-4.00000e-02,
-9.2000002e-01,-8.80000e-01,0.00000e+00,
-9.1600007e-01,-9.80000e-01,0.00000e+00,
-9.1200006e-01,-9.80000e-01,0.00000e+00,
-9.0800005e-01,-7.60000e-01,-4.00000e-02,
-9.0400004e-01,-8.40000e-01,0.00000e+00,
-9.0000004e-01,-9.40000e-01,0.00000e+00,
-8.9600003e-01,-9.00000e-01,0.00000e+00,
-8.9200002e-01,-8.00000e-01,0.00000e+00,
-8.8800007e-01,-8.40000e-01,0.00000e+00,
-8.8400006e-01,-9.40000e-01,0.00000e+00,
-8.8000005e-01,-9.60000e-01,0.00000e+00,
-8.7600005e-01,-7.80000e-01,-4.00000e-02,
-8.7200004e-01,-7.80000e-01,0.00000e+00,
-8.6800003e-01,-9.20000e-01,0.00000e+00,
-8.6400002e-01,-9.40000e-01,0.00000e+00,
-8.6000001e-01,-8.40000e-01,0.00000e+00,
-8.5600007e-01,-7.60000e-01,0.00000e+00,
-8.5200006e-01,-9.80000e-01,0.00000e+00,
-8.4800005e-01,-8.60000e-01,0.00000e+00,
-8.4400004e-01,-9.80000e-01,-4.00000e-02,
-8.4000003e-01,-9.20000e-01,0.00000e+00,
-8.3600003e-01,-7.80000e-01,0.00000e+00,
-8.3200002e-01,-8.60000e-01,0.00000e+00,
-8.2800007e-01,-9.40000e-01,-4.00000e-02,
-8.2400006e-01,-9.40000e-01,0.00000e+00,
-8.2000005e-01,-7.80000e-01,-4.00000e-02,
-8.1600004e-01,-8.40000e-01,0.00000e+00,
-8.1200004e-01,-9.60000e-01,0.00000e+00,
-8.0800003e-01,-1.00000e+00,0.00000e+00,
-8.0400002e-01,-7.60000e-01,0.00000e+00,
-8.0000001e-01,-7.60000e-01,0.00000e+00,
-7.9600006e-01,-9.20000e-01,0.00000e+00,
-7.9200006e-01,-9.40000e-01,0.00000e+00,
-7.8800005e-01,-8.20000e-01,0.00000e+00,
-7.8400004e-01,-8.00000e-01,0.00000e+00,
-7.8000003e-01,-9.40000e-01,0.00000e+00,
-7.7600002e-01,-9.40000e-01,0.00000e+00,
