X,CH1,
Second,Volt,
-7.6800007e-01,-4.00000e-01,
-7.6400012e-01,-4.40000e-01,
-7.6000005e-01,-4.00000e-01,
-7.5600010e-01,-4.40000e-01,
-7.5200003e-01,-4.00000e-01,
-7.4800009e-01,-4.40000e-01,
-7.4400002e-01,-4.00000e-01,
-7.4000007e-01,-4.40000e-01,
-7.3600012e-01,-3.60000e-01,
-7.3200005e-01,-4.40000e-01,
-7.2800010e-01,-4.00000e-01,
-7.2400004e-01,-4.40000e-01,
-7.2000009e-01,-4.40000e-01,
-7.1600002e-01,-3.60000e-01,
-7.1200007e-01,-4.40000e-01,
-7.0800012e-01,-3.60000e-01,
-7.0400006e-01,-4.00000e-01,
-7.0000011e-01,-4.40000e-01,
-6.9600004e-01,-4.00000e-01,
-6.9200009e-01,-4.40000e-01,
-6.8800002e-01,-4.00000e-01,
-6.8400007e-01,-4.40000e-01,
-6.8000013e-01,-4.00000e-01,
-6.7600006e-01,-4.40000e-01,
-6.7200011e-01,-4.40000e-01,
-6.6800004e-01,-3.60000e-01,
-6.6400009e-01,-4.00000e-01,
-6.6000003e-01,-4.40000e-01,
-6.5600008e-01,-4.40000e-01,
-6.5200013e-01,-3.60000e-01,
-6.4800006e-01,-4.40000e-01,
-6.4400011e-01,-3.60000e-01,
-6.4000005e-01,-4.40000e-01,
-6.3600010e-01,-3.60000e-01,
-6.3200003e-01,-4.40000e-01,
-6.2800008e-01,-4.00000e-01,
-6.2400001e-01,-3.60000e-01,
-6.2000006e-01,-4.40000e-01,
-6.1600012e-01,-4.00000e-01,
-6.1200005e-01,-4.40000e-01,
-6.0800010e-01,-4.00000e-01,
-6.0400003e-01,-4.40000e-01,
-6.0000008e-01,-4.00000e-01,
-5.9600002e-01,-3.60000e-01,
-5.9200007e-01,-3.60000e-01,
-5.8800012e-01,-4.40000e-01,
-5.8400005e-01,-4.40000e-01,
-5.8000010e-01,-3.60000e-01,
-5.7600003e-01,-4.40000e-01,
-5.7200009e-01,-3.60000e-01,
-5.6800002e-01,-4.40000e-01,
-5.6400007e-01,-3.60000e-01,
-5.6000006e-01,-4.00000e-01,
-5.5600005e-01,-4.40000e-01,
-5.5200005e-01,-3.60000e-01,
-5.4800004e-01,-4.40000e-01,
-5.4400009e-01,-4.00000e-01,
-5.4000008e-01,-4.40000e-01,
-5.3600007e-01,-3.60000e-01,
-5.3200006e-01,-4.40000e-01,
-5.2800006e-01,-3.60000e-01,
-5.2400005e-01,-4.40000e-01,
-5.2000004e-01,-3.60000e-01,
-5.1600009e-01,-4.40000e-01,
-5.1200008e-01,-3.60000e-01,
-5.0800008e-01,-4.40000e-01,
-5.0400007e-01,-4.40000e-01,
-5.0000006e-01,-3.60000e-01,
-4.9600002e-01,-4.00000e-01,
-4.9200001e-01,-4.40000e-01,
-4.8800001e-01,-4.40000e-01,
-4.8400006e-01,-3.60000e-01,
-4.8000005e-01,-4.00000e-01,
-4.7600004e-01,-4.40000e-01,
-4.7200003e-01,-4.00000e-01,
-4.6800002e-01,-3.60000e-01,
-4.6400002e-01,-3.60000e-01,
-4.6000001e-01,-4.40000e-01,
-4.5600006e-01,-3.60000e-01,
-4.5200005e-01,-4.40000e-01,
-4.4800004e-01,-4.40000e-01,
-4.4400004e-01,-3.60000e-01,
-4.4000003e-01,-3.60000e-01,
-4.3600002e-01,-4.40000e-01,
-4.3200001e-01,-4.00000e-01,
